scheme_key,scheme_title,profile_key,profile_title,requested_cfl,actual_cfl,steps,l1_error,l2_error,max_abs_error,total_variation_ratio,overshoot,undershoot
upwind,Upwind,square,Square pulse,0.45,0.44991212653778556,569,0.07393667661975244,0.14752282172162948,0.4838246407330151,0.9472956945891506,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.45,0.44991212653778556,569,0.13103523575044437,0.20890706564275616,0.5191647285911316,0.7195221610045057,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.45,0.44991212653778556,569,0.04636278059469427,0.11113528544923282,0.6269445883792678,2.0436546606687807,0.23906083043285897,0.23617196971911622
tvd-minmod,TVD minmod,square,Square pulse,0.45,0.44991212653778556,569,0.027676019064646045,0.08635123590436732,0.44860074774862246,0.9998723790481581,0.0,8.886127617150666e-15
upwind,Upwind,square,Square pulse,0.5,0.5,512,0.07048838624216484,0.14389517117307432,0.48240536765585307,0.9578446135326542,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.5,0.5,512,0.12109822296334542,0.19776912849418046,0.49484629439810013,0.759599677181663,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.5,0.5,512,0.04440668505543717,0.10873413519948516,0.6224012416858495,1.9834001979586444,0.23523718577402342,0.23425974855097484
tvd-minmod,TVD minmod,square,Square pulse,0.5,0.5,512,0.026738591283811418,0.08481475057229966,0.44301148479426444,0.9999180362608602,0.0,8.335481600110635e-15
upwind,Upwind,square,Square pulse,0.55,0.5505376344086022,465,0.06682794403562248,0.14000114214503392,0.48205127480677146,0.9679273934784589,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.55,0.5505376344086022,465,0.11181375844842942,0.18785373288706117,0.5101977028348739,0.7984692039085853,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.55,0.5505376344086022,465,0.04250580463582711,0.10625155247184812,0.6162762157442788,1.9209358833890853,0.22920540341803664,0.2293672255424447
tvd-minmod,TVD minmod,square,Square pulse,0.55,0.5505376344086022,465,0.025806502621410946,0.08336184891475383,0.4447740752409205,0.9999520771985534,0.0,8.153174572333968e-15
upwind,Upwind,square,Square pulse,0.6,0.5995316159250585,427,0.06307617635695503,0.13594328677306128,0.48161991010257044,0.9768837251191239,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.6,0.5995316159250585,427,0.10296131095322415,0.17832239571567216,0.5081957375090511,0.8355280616420215,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.6,0.5995316159250585,427,0.0403522049629998,0.10378260215183993,0.61052455026976,1.8632516180360155,0.22302080796101653,0.2231906464189219
tvd-minmod,TVD minmod,square,Square pulse,0.6,0.5995316159250585,427,0.02479847642314695,0.08173425930753431,0.4457820627889837,0.9999743120156733,0.0,7.755665427896494e-15
upwind,Upwind,square,Square pulse,0.65,0.649746192893401,394,0.05898337371926378,0.13141334812494812,0.48104779949662346,0.9849078564495548,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.65,0.649746192893401,394,0.09385811383486233,0.16829562730930686,0.48125398109125006,0.8729910478471148,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.65,0.649746192893401,394,0.038172656220037425,0.10110361237380673,0.606862743815998,1.8079464349210024,0.22009701078933608,0.22027040423796893
tvd-minmod,TVD minmod,square,Square pulse,0.65,0.649746192893401,394,0.023674735592488557,0.07988460982541477,0.4462331889265379,0.9999882923595448,0.0,6.953909030678829e-15
upwind,Upwind,square,Square pulse,0.7,0.6994535519125683,366,0.054630396816768026,0.12644520087301267,0.48029248093033283,0.9913513697191255,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.7,0.6994535519125683,366,0.08507123600589268,0.1590675849600191,0.47844816945949864,0.9080262624466291,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.7,0.6994535519125683,366,0.03558482391727238,0.09813804210050639,0.6027849897993471,1.7539750018280058,0.21212541017833453,0.212132148979158
tvd-minmod,TVD minmod,square,Square pulse,0.7,0.6994535519125683,366,0.02245136697449823,0.07782992656300639,0.4459990970772373,0.9999956313243828,0.0,6.4792811128174645e-15
upwind,Upwind,square,Square pulse,0.75,0.750733137829912,341,0.04974178084016202,0.12063875499385716,0.4792128304889476,0.9961063574252318,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.75,0.750733137829912,341,0.07613951397561151,0.15033442072005251,0.5084000520255251,0.9406665728735288,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.75,0.750733137829912,341,0.03313685472715309,0.09456095234294447,0.5976068724541379,1.6984406123575875,0.20691425859841472,0.20690298609305993
tvd-minmod,TVD minmod,square,Square pulse,0.75,0.750733137829912,341,0.021039672327945676,0.07538325041664622,0.44458142523707417,0.9999988606645539,0.0,5.496445724830296e-15
upwind,Upwind,square,Square pulse,0.8,0.8,320,0.044542164232539205,0.11414575783050594,0.47770807308547036,0.9987432250209718,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.8,0.8,320,0.0667278716886669,0.13980274764201833,0.4728040074407316,0.9684719551877862,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.8,0.8,320,0.030257036992533227,0.09046421878501816,0.5910059906269771,1.6326196201273975,0.19651263887088422,0.1965127166936811
tvd-minmod,TVD minmod,square,Square pulse,0.8,0.8,320,0.019477387300756183,0.07255449538860839,0.4414886890775991,0.9999998119837643,0.0,5.03132173258664e-15
upwind,Upwind,square,Square pulse,0.85,0.8504983388704319,301,0.038489982396839977,0.10608929918558914,0.47530083145820456,0.9998183993049913,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.85,0.8504983388704319,301,0.0570124328666882,0.1299983813647037,0.5124643787446677,0.9889200762759107,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.85,0.8504983388704319,301,0.026529948166404527,0.08527944120157838,0.5815606605211705,1.5767317370499843,0.18960979203358108,0.18960989616420063
tvd-minmod,TVD minmod,square,Square pulse,0.85,0.8504983388704319,301,0.017579216872272957,0.06893121242804981,0.43535610433051997,0.9999999901357086,0.0,4.385639372123767e-15
upwind,Upwind,square,Square pulse,0.9,0.9014084507042254,284,0.03122219946511801,0.09551689283704642,0.47093030122924884,0.9999968011895999,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.9,0.9014084507042254,284,0.045212191239253165,0.114842792665416,0.46175874087706126,0.9986645198055214,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.9,0.9014084507042254,284,0.022559702763351674,0.07827373218041263,0.5663475585400403,1.4976070296437631,0.17634510886369603,0.17634510832976552
tvd-minmod,TVD minmod,square,Square pulse,0.9,0.9014084507042254,284,0.015155922367603833,0.06394499705075848,0.4230393597967188,0.9999999999661431,0.0,3.2167263409927937e-15
upwind,Upwind,square,Square pulse,0.95,0.9516728624535316,269,0.02178489082175693,0.07970552888452087,0.4603721256437451,0.9999999999998884,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.95,0.9516728624535316,269,0.03161468642534742,0.09810354090330213,0.5255623119429904,0.9999997623231666,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.95,0.9516728624535316,269,0.01675754734696703,0.06731075713828591,0.5343760365102939,1.3898796755251532,0.1496794408710469,0.14967944087105897
tvd-minmod,TVD minmod,square,Square pulse,0.95,0.9516728624535316,269,0.011695528540244835,0.05591105646745133,0.39373393049157823,1.0000000000000029,6.661338147750939e-16,1.840443898970089e-15
upwind,Upwind,square,Square pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
tvd-minmod,TVD minmod,square,Square pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
